Old Address,New Address,Structure Type
205 E 2nd,215 E 2nd St,Residence
235 E 2nd,221 E 2nd St,Residence
,332 E 2nd St,Residence
406 E 2nd,408 E 2nd St,Residence
410 E 2nd ,428 E 2nd St,Church
415 E 2nd,425 E 2nd St,Residence
538 E 2nd ,510 E 2nd St,Residence
,526 E 2nd St,Residence
535 E 2nd,511 E 2nd St,Residence
537 E 2nd,529 E 2nd St,Residence
103 W 2nd,107 W 2nd St,Business
,312 W 2nd St,Business
608 W 2nd,631 W 2nd St,Residence
706 W 2nd,723 W 2nd St,Residence
802 W 2nd,809 W 2nd St,Residence
108 E 3rd,114 E 3rd St,Residence
110 E 3rd,120 E 3rd St,Residence
,123 E 3rd St,Residence
202 E 3rd,212 E 3rd St,Residence
238 E 3rd,232 E 3rd St,Residence
203 E 3rd,211 E 3rd St,Residence
324 E 3rd,322 E 3rd St,Residence
305 E 3rd,307 E 3rd St,Residence
412 E 3rd,426 E 3rd St,Residence
401 E 3rd,411 E 3rd St,Residence
403 E 3rd,419 E 3rd St,Residence
411 E 3rd,431 E 3rd St,Residence
237 W 3rd,108 W 3rd St,Residence
113 W 3rd,123 W 3rd St,Residence
232 W 3rd,222 W 3rd St,Residence
234  W 3rd,230 W 3rd St,Residence
322 W 3rd,318 W 3rd St,Residence
338 W 3rd,326 W 3rd St,Residence
329 W 3rd,325 W 3rd St,Residence
337 W 3rd,329 W 3rd St,Residence
102 E 4th,106 E 4th St,Residence
,133 E 4th St,Residence
200 E 4th,141 E 4th St,Residence
204 E 4th,208 E 4th St,Residence
204 1/2 E 4th,212 E 4th St,Residence
,220 E 4th St,Residence
232 E 4th,230 E 4th St,Residence
203 E 4th,213 E 4th St,Residence
237 E 4th,225 E 4th St,Residence
233 E 4th,233 E 4th St,Residence
300 E 4th,306 E 4th St,Residence
302 E 4th,312 E 4th St,Residence
301 E 4th,311 E 4th St,Residence
,320 E 4th St,Residence
305 E 4th,323 E 4th St,Residence
,324 E 4th St,Residence
307 E 4th,333 E 4th St,Residence
103 E 4th,108 W 4th St,Residence
120 W 4th,118 W 4th St,Residence
221 W 4th,119 W 4th St,Residence
226 W 4th,226 W 4th St,Residence
225 W 4th,221 W 4th St,Residence
233 W 4th,231 W 4th St,Residence
326 W 4th,322 W 4th St,Residence
325 W 4th,317 W 4th St,Residence
,325 W 4th St,Residence
,335 W 4th St,Residence
,421 W 4th St,City
501 W 4th,507 W 4th St,Apartment
602 W 4th,613 W 4th St,Residence
416 W 4th,430 N Nance Ave,Residence
,914 W 4th St,Business
909 W 4th,926 W 4th St,Business
909 W 4th,928 W 4th St,Residence
105 E 5th,124 E 5th St,Residence
109 E 5th,119 E 5th St,Residence
111 E 5th,125 E 5th St,Residence
,208 E 5th St,Residence
223 E 5th,212 E 5th St,Residence
234 E 5th #5,224 E 5th St,Residence
231 E 5th,211 E 5th St,Residence
237 E 5th,221 E 5th St,Residence
302 E 5th,310 E 5th St,Residence
306 E 5th,318 E 5th St,Residence
318 E 5th,322 E 5th St,Residence
307 E 5th,309 E 5th St,Residence
309 E 5th,319 E 5th St,Residence
402 E 5th,406 E 5th St,Residence
436 E 5th ,420 E 5th St,Residence
440 E 5th,432 E 5th St,Residence
423 E 5th,419 E 5th St,Residence
425 E 5th,425 E 5th St,Residence
105 W 5th,105 W 5th St,Police
,109 W 5th St,Fire
,221 W 5th St,Business
226 W 5th,222 W 5th St,Residence
230 W 5th,230 W 5th St,Residence
,325 W 5th St,Residence
318 W 5th,320 W 5th St,Residence
338 W 5th,332 W 5th St,Residence
500 W 5th,534 W 5th St,School
407 W 5th,517 W 5th St,Residence
507 W 5th,523 W 5th St,Residence
501 W 5th,527 W 5th St,Residence
532 Salyer,627 W 5th St,Residence
104 E Main,104 E Main St,Business
,122 E Main St,Business
,135 E Main St,Residence
136 E Main,138 E Main St,Residence
111 E Main,107 E Main St,Business
,119 E Main St,Business
129 E Main,129 E Main St,Residence
130 E Main,130 E Main St,Residence
202 E Main,206 E Main St,Residence
218 E Main,222 E Main St,Residence
238 E Main,234 E Main St,Residence
201 E Main,211 E Main St,Residence
209 E Main,217 E Main St,Residence
217 E Main,225 E Main St,Residence
236 E Main,233 E Main St,Church
337 E Main,308 E Main St,Church
305 E Main,311 E Main St,Residence
317 E Main,319 E Main St,Residence
418 E Main,412 E Main St,Residence
426 E Main,420 E Main St,Residence
401 E Main,411 E Main St,Residence
417 E Main,419 E Main St,Residence
425 E Main,429 E Main St,Residence
506 E Main,510 E Main St,Residence
526 E Main,516 E Main St,Residence
538 E Main,528 E Main St,Residence
525 E Main,517 E Main St,Residence
110 W Main,108 W Main St,Business
114 W Main,114 W Main St,Business
118 W Main,118 W Main St,Business
101 W Main,132 W Main St,Business
101 W Main,103 W Main St,Business
109 W Main,109 W Main St,Business
121 W Main,115 W Main St,Business
125 W Main,119 W Main St,Business
129 W Main,121 W Main St,Business
133 W Main,125 W Main St,Business
137 W Main,129 W Main St,City
139 W Main,131 W Main St,Business
145 W Main,133 W Main St,Business
220 W Main,214 W Main St,Residence
226 W Main,220 W Main St,Business
230 W Main,224 W Main St,Business
238 W Main,234 W Main St,Residence
217 W Main,205 W Main St,Residence
221 W Main,209 W Main St,Business
220 W Main,217 W Main St,Business
,221 W Main St,Business
138 W Main,227 W Main St,Post Office
332 W Main,324 W Main St,Residence
,319 W Main St,Residence
341 W Main,331 W Main St,Residence
401 W Main,506 W Main St,Residence
403 W Main,528 W Main St,Residence
,823 W Main St,Residence
400 W Main,921 W Main St,Business
,939 W Main St,Business
136 E 6th,128 E 6th St,Residence
138 E 6th,136 E 6th St,Residence
129 E 6th,127 E 6th St,Residence
137 E 6th,135 E 6th St,Residence
202 E 6th,206 E 6th St,Residence
210 E 6th,214 E 6th St,Residence
201 E 6th,207 E 6th St,Residence
213 E 6th,217 E 6th St,Residence
217 E 6th,223 E 6th St,Residence
314 E 6th,312 E 6th St,Residence
318 E 6th,318 E 6th St,Residence
326 E 6th,324 E 6th St,Residence
309 E 6th,313 E 6th St,Residence
320 E 6th,327 E 6th St,Residence
337 E 6th,333 E 6th St,Residence
400 E 6th,406 E 6th St,Residence
,407 E 6th St,Residence
,413 E 6th St,Residence
410 E 6th,414 E 6th St,Residence
422 E 6th,422 E 6th St,Residence
,407 E 6th St,Residence
401 E 6th,413 E 6th St,Residence
419 E 6th,419 E 6th St,Residence
423 E 6th,429 E 6th St,Residence
